"ModelN","VarGroup","Model","NumPredictors","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","value_ICC2","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE","globalrank_RMSE.Std","globalrank_RMSE.CVmean","globalrank_RMSE.CVsd","globalrank_Singular","globalrank_Sig","globalrank_ICC","globalrank_ICC2","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE","familyrank_RMSE.Std","familyrank_RMSE.CVmean","familyrank_RMSE.CVsd","familyrank_Singular","familyrank_Sig","familyrank_ICC","familyrank_ICC2","globalranks_mean","familyranks_mean"
12,12,"DBH.cm, Height.m, CanopyDiameter.m",3,"Species&Site","MixedInt",1,1,"12.MixedInt_Species&Site",0.97607,249.03935,275.82136,0.33071,0.13092,0.33401,0.06532,0,0.33407,0.160245823942285,9.29039,0.160245823942285,18,10,9,12,11,4,45.5,26,13,27,39,3,3,3,3,3,1,4.5,2,3,1,3,12.4,3
16,16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,NA,"Fixed",2,1,"16.Fixed",0.97372,252.76964,275.72564,0.34513,0.13663,0.34678,0.07716,NA,0.34771,NA,11.55534,NA,25,11,8,19.5,18.5,9,66,NA,20,NA,NA,7,5,4,6.5,6.5,4,5,NA,7,NA,NA,16.7,5.9
12,12,"DBH.cm, Height.m, CanopyDiameter.m",3,NA,"Fixed",3,2,"12.Fixed",0.97147,278.60894,297.73894,0.3596,0.14236,0.36387,0.04678,NA,0.36174,NA,11.09412,NA,28,17,14,24,23,14,7,NA,23,NA,NA,7,7,6,7,7,4,1,NA,7,NA,NA,21.2,6.8
4,4,"Comp.DBH.H.Den",1,"Site","MixedIntSlope",4,1,"4.MixedIntSlope_Site",0.97457,357.9927,382.01603,0.34429,0.13955,0.35541,0.05604,0,0.350341203865779,0.581086000044706,-Inf,0.474019752577049,22,26,24,18,22,13,22,26,22,3,75,2,2,2,2,2,2,3,2.5,2,1,5,22.4,2
14,14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"Species&Site","MixedInt",5,1,"14.MixedInt_Species&Site",0.96944,342.22299,369.00499,0.37955,0.15026,0.3829,0.07784,0,0.38315,0.185924513580366,3.35937,0.185924513580366,30,23,23,26,26,18,70,26,25,23,45,3,4,4,3,3,4,5,2,3,2,3,25.4,3.4
14,14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"Site","MixedInt",6,2,"14.MixedInt_Site",0.96937,340.39589,363.35189,0.38052,0.15064,0.38272,0.07725,0,0.38368,0.191411751959531,3.37549,0.19141175195953,32,22,20,27,27,17,67,26,27,21,47,4,3,3,4,4,3,4,2,4,1,4,25.6,3.6
7,7,"DBH.cm, CanopyDiameter.m",2,"Species&Site","MixedInt",7,1,"7.MixedInt_Species&Site",0.96938,344.2662,367.22221,0.37903,0.15005,0.3915,0.05354,0,0.38318,0.244195445456797,3.31996,0.244195445456798,31,25,22,25,25,20,16,26,26,13,59,3,3,3,3,3,3,1,2,3,1,4,25.8,3
7,7,"DBH.cm, CanopyDiameter.m",2,"Site","MixedInt",8,2,"7.MixedInt_Site",0.9668,364.98121,384.11121,0.396,0.15677,0.39586,0.08883,0,0.39927,0.179991907794966,3.10964,0.179991907794966,35,29,25,30,30,21,88,26,30,24,44,4,5,4,5,5,4,6,2,5,2,3,29.8,4.6
6,6,"DBH.cm, Height.m",2,"Species&Site","MixedInt",9,1,"6.MixedInt_Species&Site",0.96564,442.46866,466.49199,0.3965,0.16071,0.40674,0.05403,0,0.40069,0.229218527860826,6.03746,0.229218527860825,38,37,38,31,31,27,18,26,31,14,58,3,3,3,3,3,2,4,2,3,1,4,35,3
4,4,"Comp.DBH.H.Den",1,"Species&Site","MixedInt",10,2,"4.MixedInt_Species&Site",0.96501,443.78079,463.80023,0.39791,0.16129,0.40631,0.05708,0,0.40221,0.201639143418183,-Inf,0.201639143418182,41,38,36,32,32,26,24,26,34,18,51,3,3,3,3,3,3,4,2.5,3,2,4,36.2,3
