"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE_log","globalrank_RMSE_log.CVmean","globalrank_RMSE_log.CVsd","globalrank_Sig","globalrank_ICC","globalrank_RMSE_lin","globalrank_RMdSE_lin","globalrank_RelRMSE_lin","globalrank_RelRMdSE_lin","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE_log","familyrank_RMSE_log.CVmean","familyrank_RMSE_log.CVsd","familyrank_Sig","familyrank_ICC","familyrank_RMSE_lin","familyrank_RMdSE_lin","familyrank_RelRMSE_lin","familyrank_RelRMdSE_lin","globalranks_mean","familyranks_mean"
"all",16,"logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,339,NA,"Fixed",1,1,"16.Fixed",0.97372,252.76964,275.72564,2.49452501809325,15.455545341346,34.6090786405002,57.4523373983153,0.34513,0.34872,0.05467,NA,0.34771,NA,11.55534,24,12,8,22.5,7,12,23,NA,21,33,21,33,7,5,4,6.5,3,3,7,NA,3,5,3,5,19,4.85714285714286
"all",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,339,"Species&Site","MixedInt",2,1,"12.MixedInt_Species&Site",0.97607,249.03935,275.82136,2.60708265563489,16.1529284735743,37.6727043421907,62.5380682062339,0.33071,0.33909,0.06237,0,0.33407,0.16025,9.29039,16,11,9,14,4,23,16,19,29,39,29,39,3,3,3,3,1,3,3,1,6,7,6,7,20.4285714285714,4
"all",4,"logComp.DBH.H.Den",4,1,339,"Site","MixedIntSlope",3,1,"4.MixedIntSlope_Site",0.97556,283.6227,306.5787,2.59365746596614,16.0697488597654,33.2662876229385,55.2232551566949,0.33651,0.34541,0.05668,0,0.34201,0.63095,-Inf,17,24,19,18,6,14,19,2,16,38,16,38,2,2,2,2,2,2,2,1,2,2,2,2,21,2
"all",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,339,NA,"Fixed",4,2,"12.Fixed",0.97147,278.60894,297.73894,2.45182062797993,15.190958042007,35.9036804042715,59.6014237146902,0.3596,0.35977,0.04981,NA,0.36174,NA,11.09412,27,23,16,26,11,7,26,NA,24,30,24,30,7,7,6,7,4,2,7,NA,4,6,4,6,21.8571428571429,5.57142857142857
"all",1,"logDBH.cm",1,1,339,"Site","MixedIntSlope",5,1,"1.MixedIntSlope_Site",0.97148,323.714,346.67001,2.51663350172464,15.592524793833,28.5742156673409,47.434243958497,0.36058,0.36843,0.07009,0,0.36601,0.50159,-Inf,26,27,26,27,13,35,27,7,12,36,12,36,2,2,2,2,2,2,2,1,2,4,2,4,27,2.28571428571429
"all",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,339,"Species&Site","MixedInt",6,1.5,"14.MixedInt_Species&Site",0.96944,342.22299,369.00499,2.48259687972876,15.3816411383442,33.8033345192342,56.1147726629885,0.37955,0.39151,0.06331,0,0.38315,0.18592,3.35937,28,29,30,29,18,27,28,16,18,32,18,32,3,4,4,3,2,2,3,2,4,7,4,7,27.4285714285714,3.85714285714286
"all",7,"logDBH.cm, logCanopyDiameter.m",7,2,339,"Species&Site","MixedInt",7,1,"7.MixedInt_Species&Site",0.96938,344.2662,367.22221,2.40973524814376,14.9302059984124,34.5427098744456,57.3421628172555,0.37903,0.38582,0.07383,0,0.38318,0.2442,3.31996,29,30,29,28,17,41,29,9,20,27,20,27,3,3,3,3,2,3,3,1,4,4,4,4,29.2857142857143,3.28571428571429
"all",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",14,3,339,"Site","MixedInt",8,1.5,"14.MixedInt_Site",0.96937,340.39589,363.35189,2.33417909842708,14.462076198433,33.398004395597,55.4419098207615,0.38052,0.383,0.08048,0,0.38368,0.19141,3.37549,30,28,28,30,15,51,30,15,17,23,17,23,4,3,3,4,1,4,4,1,3,6,3,6,29.5714285714286,3.85714285714286
"all",13,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,339,"Site","MixedInt",9,1,"13.MixedInt_Site",0.9662,352.90753,375.86353,2.72655280832358,16.8931400763543,44.5318049111978,73.9244262261329,0.39017,0.40022,0.04464,0,0.39316,0.10043,5.82915,35,31,31,33.5,22,3,32.5,29,41,49,41,49,3.5,3,3,3.5,2,1,3.5,1,6,4,6,4,31.7857142857143,3.42857142857143
"all",7,"logDBH.cm, logCanopyDiameter.m",7,2,339,"Site","MixedInt",10,2,"7.MixedInt_Site",0.9668,364.98121,384.11121,2.42207675157602,15.0066713232715,33.8099248553627,56.1257128621991,0.396,0.40113,0.09132,0,0.39927,0.17999,3.10964,32,37,34,37,23,66,37,17,19,28,19,28,4,5,4,5,3,5,5,2,3,5,3,5,36.1428571428571,4.42857142857143
"all",4,"logComp.DBH.H.Den",4,1,339,"Species&Site","MixedInt",11,2,"4.MixedInt_Species&Site",0.966,359.40894,378.53894,2.92210110793494,18.1047156625461,46.4810170923111,77.1601897971162,0.38959,0.39699,0.05982,0,0.39377,0.21285,-Inf,37,33,32,32,20,16,35,11,46,55,46,55,3,3,3,3,3,3,3,2,6,4,6,4,36.2857142857143,3.57142857142857
"all",6,"logDBH.cm, logHeight.m",6,2,339,"Species&Site","MixedInt",12,1,"6.MixedInt_Species&Site",0.9662,361.75434,384.71034,2.72184538394344,16.8639738782121,45.5536147258795,75.6206679215505,0.38936,0.39925,0.06686,0,0.39355,0.24882,6.03746,35,34,35,31,21,30,34,8,45,47,45,47,3,3,3,3,2,2,3,1,6,3,6,3,37.1428571428571,3.28571428571429
